City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mahebourg,-20.4081,57.7,76.24,83,100,6.71,MU,2022-01-09 23:13:06
1,Hamilton,39.1834,-84.5333,35.64,62,0,3.0,US,2022-01-09 23:10:50
2,Kaduy,59.2,37.15,11.93,98,98,2.55,RU,2022-01-09 23:13:06
3,Upernavik,72.7868,-56.1549,0.36,98,100,11.56,GL,2022-01-09 23:13:07
4,Lata,40.1629,-8.3327,56.71,99,100,2.82,PT,2022-01-09 23:13:07
5,Belaya Gora,68.5333,146.4167,-35.3,100,55,4.38,RU,2022-01-09 23:10:58
6,Tiksi,71.6872,128.8694,-1.7,66,100,22.06,RU,2022-01-09 23:13:07
7,Busselton,-33.65,115.3333,61.05,69,78,11.3,AU,2022-01-09 23:13:08
8,Ribeira Grande,38.5167,-28.7,61.27,75,100,20.38,PT,2022-01-09 23:13:08
9,Carnarvon,-24.8667,113.6333,73.47,60,0,13.8,AU,2022-01-09 23:13:08
10,New Norfolk,-42.7826,147.0587,62.65,76,100,1.99,AU,2022-01-09 23:13:09
11,Tuktoyaktuk,69.4541,-133.0374,-28.62,99,57,7.16,CA,2022-01-09 23:13:09
12,Namtsy,62.7161,129.6658,-41.69,100,79,2.01,RU,2022-01-09 23:13:09
13,Mataura,-46.1927,168.8643,66.47,57,68,1.41,NZ,2022-01-09 23:13:10
14,Rikitea,-23.1203,-134.9692,78.3,79,100,18.97,PF,2022-01-09 23:13:10
15,Jamestown,42.097,-79.2353,35.1,61,100,13.0,US,2022-01-09 23:13:10
16,Asau,46.4333,26.4,37.4,99,99,3.27,RO,2022-01-09 23:11:36
17,Kieta,-6.2167,155.6333,84.94,71,28,10.0,PG,2022-01-09 23:13:11
18,Dingle,10.9995,122.6711,74.48,93,71,5.64,PH,2022-01-09 23:13:11
19,Albany,42.6001,-73.9662,38.73,91,100,1.01,US,2022-01-09 23:08:21
20,Urusha,54.05,122.9,-22.34,96,54,3.24,RU,2022-01-09 23:13:11
21,Punta Arenas,-53.15,-70.9167,51.91,54,75,23.02,CL,2022-01-09 23:09:14
22,Manzini,-26.25,31.5,67.24,90,71,0.18,SZ,2022-01-09 23:13:12
23,Hermanus,-34.4187,19.2345,71.8,86,100,11.27,ZA,2022-01-09 23:13:12
24,Pisco,-13.7,-76.2167,73.45,83,0,21.85,PE,2022-01-09 23:13:12
