City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Mahebourg,MU,76.24,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
9,Carnarvon,AU,73.47,-24.8667,113.6333,Hospitality Carnarvon
13,Mataura,NZ,66.47,-46.1927,168.8643,Ellie's Villa
14,Rikitea,PF,78.3,-23.1203,-134.9692,People ThankYou
17,Kieta,PG,84.94,-6.2167,155.6333,Uruna Bay Retreat
18,Dingle,PH,74.48,10.9995,122.6711,SEGAYA PROPERTY
22,Manzini,SZ,67.24,-26.25,31.5,
23,Hermanus,ZA,71.8,-34.4187,19.2345,Misty Waves Boutique Hotel
24,Pisco,PE,73.45,-13.7,-76.2167,Hotel San Isidro Oficial
26,Sinnamary,GF,76.12,5.3833,-52.95,ALETHEIA Appartement Sinnamary
29,Bluff,NZ,66.79,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
33,La Mira,MX,83.23,18.035,-102.3266,Cabaña San Francisco
35,Cayenne,GF,79.09,4.9333,-52.3333,Hôtel Le Dronmi
38,Kaeo,NZ,80.33,-35.1,173.7833,Bushido Lodge
41,Puerto Ayora,EC,74.01,-0.7393,-90.3518,Finch Bay Galapagos Hotel
42,Gibara,CU,78.12,21.1097,-76.1317,Sol y Mar
49,Faanui,PF,81.37,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
50,Katherine,AU,82.72,-14.4667,132.2667,Pine Tree Motel
51,Bourail,NC,82.89,-21.5667,165.4833,Motel Allamanda
52,Vallenar,CL,74.95,-28.5708,-70.7581,Humacao Bed & Breakfast
54,Kapaa,US,79.2,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Port Alfred,ZA,72.64,-33.5906,26.891,The Halyards Hotel
58,Saint-Philippe,RE,78.39,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
60,Cape Town,ZA,70.88,-33.9258,18.4232,Southern Sun Waterfront Cape Town
62,Namibe,AO,65.79,-15.1961,12.1522,Hotel Chik Chik Namibe
75,Mar Del Plata,AR,77.0,-38.0023,-57.5575,Gran Hotel Mar del Plata
76,Sao Filipe,CV,72.86,14.8961,-24.4956,Hotel Xaguate
77,Butaritari,KI,81.52,3.0707,172.7902,Isles Sunset Lodge
78,Airai,TL,65.19,-8.9266,125.4092,
79,Gambela,ET,80.15,8.25,34.5833,Solomon Debebe Hotel
83,Carauari,BR,74.43,-4.8828,-66.8958,Hotel Fellip
84,Vaini,TO,80.76,-21.2,-175.2,Keleti Beach Resort
88,Sorong,ID,80.69,-0.8833,131.25,Waigo Splash Hotel
91,Georgetown,MY,80.53,5.4112,100.3354,Cititel Penang
92,Vila Velha,BR,75.15,-20.3297,-40.2925,Quality Suites Vila Velha
94,Ouegoa,NC,84.18,-20.35,164.4333,
96,Beloha,MG,74.88,-25.1667,45.05,
98,Padang,ID,75.25,-0.9492,100.3543,Mercure Padang
99,Wewak,PG,81.19,-3.5534,143.6268,In Wewak Boutique Hotel
101,Praia,CV,72.14,14.9215,-23.5087,LT Aparthotel
103,Bambanglipuro,ID,76.98,-7.95,110.2833,Puri Brata
105,East London,ZA,73.67,-33.0153,27.9116,Tu Casa
106,Inirida,CO,79.2,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
107,Bredasdorp,ZA,71.28,-34.5322,20.0403,Bredasdorp Country Manor
